contact_id,account_id,first_name,last_name,email,title,phone,created_at,lead_source,lead_status
54,1588,Ronnie,Jones,ronnie.jones@cohengarciaandsmith.com,Nature conservation officer,517.854.2135,2025-02-25,Web,New
5138,1994,Cindy,Cruz,cindy.cruz@smithandsons.com,Press photographer,001-224-392-0832x73065,2023-10-06,Web,Qualified
1432,1941,Morgan,Daugherty,morgan.daugherty@hughes-white.com,"Research officer, trade union",+1-923-241-5437,2024-06-11,Web,Qualified
8065,1534,Scott,Little,scott.little@watson-fox.com,"Scientist, marine",+1-260-912-1817x91843,2024-10-24,Web,New
2820,1575,Grace,Levy,grace.levy@vaughnplc.com,Charity fundraiser,415-224-6887,2024-05-18,Ad,Working
7220,1831,James,Johnson,james.johnson@tateandsons.com,Animal technologist,+1-238-478-1455x3641,2025-01-06,Referral,New
816,259,John,Freeman,john.freeman@rodriguez-nelson.com,"Development worker, community",555-677-1696x185,2023-05-15,Web,Working
7388,485,Justin,Schroeder,justin.schroeder@robinsonpalmerandrivera.com,Emergency planning/management officer,499.413.2215x261,2023-07-10,Cold Call,Working
5034,624,Michael,Hughes,michael.hughes@carlsonhowardandjackson.com,Dealer,001-833-956-7311,2023-06-01,Referral,Unqualified
817,259,Pamela,Sanchez,pamela.sanchez@rodriguez-nelson.com,"Restaurant manager, fast food",762-951-3692x830,2023-04-25,Cold Call,Qualified
4688,3255,Matthew,Li,matthew.li@cooper-newman.com,Advertising account executive,(284)611-8939,2025-02-03,Referral,New
625,649,Amber,Butler,amber.butler@arellanoplc.com,Government social research officer,+1-855-371-3584,2025-07-18,Cold Call,New
4786,3578,William,Aguirre,william.aguirre@velazquezltd.com,"Surveyor, commercial/residential",630-339-0787,2024-08-14,Ad,Qualified
6860,674,Courtney,Garcia,courtney.garcia@montgomerynealandcobb.com,Town planner,001-238-286-0081,2024-08-05,Ad,Qualified
7812,3268,Walter,Carlson,walter.carlson@jacksonsimpsonandwalker.com,Financial controller,697-279-4858,2024-03-01,Referral,New
1530,2669,Lauren,Marquez,lauren.marquez@blakegroup.com,"Doctor, hospital",894-888-5740,2025-06-14,Web,Qualified
4821,288,Danny,Todd,danny.todd@lindsey-baker.com,Broadcast presenter,652-600-1835x6591,2025-03-17,Web,New
364,964,Jennifer,Wilson,jennifer.wilson@marshall-welch.com,Tax adviser,+1-916-919-3937x68638,2025-07-04,Referral,New
5641,2057,Randy,Hernandez,randy.hernandez@savage-leon.com,Set designer,887.860.6011x941,2025-04-16,Web,Unqualified
3056,2501,Brittany,Lyons,brittany.lyons@taylor-jensen.com,Chief Technology Officer,441-776-0152,2025-06-19,Web,New
6988,735,Anthony,Medina,anthony.medina@johnsonplc.com,Fish farm manager,244-602-1381,2023-11-11,Web,Qualified
5949,376,Katherine,Clark,katherine.clark@diazrobinsonandalexander.com,"Therapist, occupational",001-871-360-1837x69688,2025-07-17,Ad,New
6970,1849,Jennifer,Edwards,jennifer.edwards@ortiz-wilson.com,Insurance underwriter,(564)985-5012,2025-05-20,Ad,Unqualified
4287,3947,Samuel,Reyes,samuel.reyes@brownphillipsandhoffman.com,Insurance broker,001-546-897-9279x531,2025-05-10,Ad,Qualified
2064,1004,Jonathan,Rubio,jonathan.rubio@alexanderandsons.com,Immigration officer,+1-587-633-3212x245,2024-12-10,Referral,Unqualified
1462,1812,Jeffery,Farmer,jeffery.farmer@morganandsons.com,Air traffic controller,8083241428,2024-09-25,Referral,Working
4093,2858,Colton,Nielsen,colton.nielsen@martin-taylor.com,"Engineer, structural",230-897-6848x9666,2025-04-22,Referral,Working
410,2704,Tina,Graham,tina.graham@carter-mcgee.com,Multimedia specialist,001-894-956-3906x804,2024-08-24,Web,Working
2568,2445,Danielle,Robinson,danielle.robinson@brown-sanchez.com,Paramedic,597.801.1239,2025-02-02,Ad,Unqualified
1484,472,Brian,Roth,brian.roth@boltonplc.com,"Psychologist, clinical",321.796.3865x36576,2025-07-14,Web,Working
887,1244,Thomas,Carrillo,thomas.carrillo@conradplc.com,Sport and exercise psychologist,846.985.2037x6140,2024-11-30,Referral,Unqualified
4612,519,Jennifer,Smith,jennifer.smith@wilsonltd.com,"Programmer, systems",613.912.3030x4467,2025-07-15,Web,New
7760,2758,Ashley,West,ashley.west@marshallinc.com,Cartographer,(493)778-8090,2024-05-22,Ad,Working
6658,682,Hayley,Harris,hayley.harris@barnesconleyandrandall.com,Personnel officer,(551)677-4009x479,2023-09-14,Referral,Qualified
4079,3027,David,Macias,david.macias@pachecogarciaandlyons.com,Market researcher,336.613.7080,2024-11-24,Ad,Working
1113,2691,Jennifer,Savage,jennifer.savage@bellinc.com,Higher education lecturer,+1-554-326-4807x02008,2025-03-11,Cold Call,Qualified
423,3740,Rebecca,Butler,rebecca.butler@brownplc.com,Magazine journalist,451.777.1254x520,2024-10-15,Cold Call,Working
4906,3945,Travis,Moore,travis.moore@jameswillisandmedina.com,Psychotherapist,768-771-9092,2023-08-07,Referral,New
1195,33,Gina,Mathews,gina.mathews@orozcomurrayandcardenas.com,"Doctor, hospital",458-934-2835x01120,2024-12-27,Ad,New
1748,76,Amanda,Marquez,amanda.marquez@gonzalesrosarioandmartinez.com,Operational researcher,576-290-6408x3937,2025-06-29,Referral,New
4541,167,Brandon,Williams,brandon.williams@pierceprattandgutierrez.com,Chief Executive Officer,609.436.3079,2025-03-21,Cold Call,Working
433,3276,Christopher,Williamson,christopher.williamson@castillo-morris.com,Quarry manager,(528)240-9496x255,2025-03-23,Cold Call,New
6357,3751,Greg,Oliver,greg.oliver@brown-house.com,Curator,(292)469-1503x21504,2025-01-02,Referral,New
6695,416,Terrance,Stevenson,terrance.stevenson@roach-black.com,Office manager,280.476.2239x44963,2024-08-13,Ad,Working
569,271,Isaac,Glenn,isaac.glenn@rosepriceandcrosby.com,Educational psychologist,(943)993-5052,2025-02-01,Ad,Qualified
6347,2517,Ashley,Young,ashley.young@barber-sherman.com,"Scientist, marine",+1-507-595-6240x7900,2023-07-12,Web,Unqualified
1866,1985,Harold,Whitaker,harold.whitaker@snyder-lowe.com,Health physicist,262.478.2379x08215,2025-03-01,Referral,Unqualified
3514,1298,Ashley,Pena,ashley.pena@thompson-gay.com,Volunteer coordinator,(573)789-3528x55349,2024-08-01,Referral,Unqualified
5680,3971,Shane,Williams,shane.williams@ford-carter.com,Music therapist,001-614-921-2718x744,2024-01-16,Referral,Qualified
5634,3102,Rhonda,Tran,rhonda.tran@herringlongandbyrd.com,Research scientist (maths),(459)413-4134x7255,2024-11-28,Cold Call,Unqualified
1557,997,Benjamin,Yang,benjamin.yang@fernandeztaylorandsaunders.com,Bookseller,(445)380-1706,2024-12-19,Ad,Qualified
4305,3609,Amy,Miles,amy.miles@may-norris.com,Health visitor,+1-976-345-9612x64550,2025-05-03,Referral,Unqualified
1672,1157,Hannah,Myers,hannah.myers@carpentercontrerasandmiller.com,Fashion designer,640.970.8712,2024-05-08,Ad,New
6892,2599,Linda,Ramos,linda.ramos@reyeshodgesandjohnson.com,"Teacher, early years/pre",(312)289-5782,2023-04-16,Cold Call,Qualified
4195,1574,Daniel,Gonzalez,daniel.gonzalez@grantsmithandjohnson.com,Translator,533.894.1501x726,2025-07-11,Web,Unqualified
1509,1180,Erica,English,erica.english@butlerdickersonanddiaz.com,Advertising account executive,4982352785,2024-11-14,Ad,New
6922,125,Melody,Khan,melody.khan@bowman-melendez.com,Insurance claims handler,(596)974-4086,2024-08-26,Referral,New
5450,2540,Parker,Maddox,parker.maddox@gibson-tran.com,Data scientist,001-284-333-3253x7317,2024-10-14,Cold Call,Qualified
4,1694,Roy,Wright,roy.wright@wangllc.com,Chartered certified accountant,+1-451-676-2379,2024-11-25,Web,Unqualified
3801,2907,Jason,Flores,jason.flores@garciainc.com,"Surveyor, rural practice",2182790291,2024-01-06,Cold Call,Qualified
7218,1671,Derek,Cannon,derek.cannon@owensnunezandkelly.com,Clinical psychologist,414-551-4192x45306,2025-05-04,Cold Call,Qualified
700,829,Dakota,Nguyen,dakota.nguyen@walkerllc.com,Financial trader,(772)243-9271x99670,2024-10-05,Referral,New
5046,767,Stephanie,Parker,stephanie.parker@raymondburgessandwilliams.com,Petroleum engineer,887-586-4412,2025-04-14,Referral,Qualified
7706,2634,Stefanie,Day,stefanie.day@chambersltd.com,Phytotherapist,001-954-740-5354x0882,2025-06-16,Cold Call,Working
6983,2552,Jonathan,Collins,jonathan.collins@garciaandrewsanddickson.com,Psychotherapist,765.231.4323,2023-08-14,Ad,Qualified
1524,3366,Lee,Clayton,lee.clayton@rodriguez-foley.com,"Programme researcher, broadcasting/film/video",536.776.0774,2025-06-18,Referral,Working
4996,2872,Samantha,Jacobs,samantha.jacobs@torreskennedyandmorrison.com,Operational researcher,625.946.6036x525,2024-09-21,Cold Call,New
7692,237,Ryan,Russell,ryan.russell@freemandavisandsalazar.com,Insurance account manager,001-493-665-7325,2025-03-05,Web,Working
6164,2429,Olivia,Rojas,olivia.rojas@serranojenkinsandschneider.com,"Programme researcher, broadcasting/film/video",679.394.6323,2025-05-25,Cold Call,Working
1666,2028,Steven,Lewis,steven.lewis@briggsgroup.com,"Civil engineer, contracting",6545454723,2025-06-26,Cold Call,Unqualified
6222,584,Leslie,Carlson,leslie.carlson@allengrayandreyes.com,Systems developer,(544)752-5468,2024-07-30,Ad,Working
4930,1256,Richard,Gordon,richard.gordon@ferrellllc.com,Dietitian,(202)243-5801,2024-05-27,Cold Call,Unqualified
593,2487,Paul,Jefferson,paul.jefferson@mcclurewrightandjennings.com,"Journalist, broadcasting",761-235-2490x48495,2025-03-11,Web,New
4564,3665,Julie,Rowland,julie.rowland@espinozawalkerandmyers.com,"Psychologist, educational",369-523-3899,2024-09-09,Web,Working
2341,3934,Johnny,Gross,johnny.gross@garciareedandsnyder.com,Public relations account executive,+1-277-624-1027x823,2024-03-02,Ad,Unqualified
998,3091,Mary,Shaw,mary.shaw@gonzalezlopezandallison.com,Primary school teacher,+1-857-230-0201x7852,2024-07-08,Referral,New
3229,2603,Marie,Turner,marie.turner@parrish-burns.com,Materials engineer,001-259-846-7841x52457,2025-07-04,Web,New
6605,2055,Lindsay,Barton,lindsay.barton@frankespinozaandhowell.com,"Engineer, site",994.611.1128x69294,2023-08-15,Cold Call,Unqualified
4141,3203,Brandon,Mann,brandon.mann@simmonsbrownandroberts.com,Secretary/administrator,(394)436-3328x7453,2025-01-09,Ad,Unqualified
1681,542,Michael,Wright,michael.wright@bowerswadeandhall.com,Materials engineer,4518709178,2025-06-19,Cold Call,New
3469,1866,Peter,Becker,peter.becker@williamsfowlerandnelson.com,Sales executive,657.962.9010x33157,2025-06-28,Ad,Unqualified
2243,87,Michael,Hardy,michael.hardy@buckleymoodyandlewis.com,"Engineer, agricultural",001-852-698-4359x1867,2025-01-09,Web,Qualified
912,200,Beth,Bowers,beth.bowers@watsonllc.com,Building surveyor,(330)651-8612x40382,2024-12-25,Cold Call,New
3556,2785,John,Gross,john.gross@dixon-webb.com,Retail merchandiser,863-801-7001,2025-04-09,Referral,Qualified
4903,1437,Jeffrey,Simon,jeffrey.simon@howardinc.com,Agricultural engineer,892-899-2522,2024-07-04,Web,Unqualified
8003,187,Amanda,Boone,amanda.boone@davidstoneandburch.com,Quality manager,001-353-326-1888x6144,2025-05-21,Ad,Unqualified
1011,1467,Katherine,King,katherine.king@wallgroup.com,Barrister's clerk,001-493-560-2048x593,2025-02-02,Referral,New
3480,2346,Maurice,Mitchell,maurice.mitchell@moralesltd.com,Commercial/residential surveyor,,2024-01-17,Web,Unqualified
5053,189,Eric,Coleman,eric.coleman@coleman-villegas.com,Teaching laboratory technician,(446)358-6620x484,2025-04-08,Web,New
2938,993,Deanna,Cummings,deanna.cummings@barnettlyonsandjones.com,"Horticulturist, commercial",421.301.6691,2025-07-16,Referral,Qualified
7603,590,Raymond,Gonzalez,raymond.gonzalez@chapmanplc.com,Control and instrumentation engineer,295.298.3094x8639,2025-04-29,Referral,Qualified
1194,1904,Charles,Jackson,charles.jackson@pricejarvisandsmith.com,"Editor, commissioning",+1-901-216-8074x7538,2025-05-07,Referral,Qualified
4120,2272,Arthur,Leonard,arthur.leonard@schneidermartinandlee.com,Health promotion specialist,001-285-759-3053,2024-09-30,Cold Call,Working
4134,3438,Cheryl,Oconnor,cheryl.oconnor@horn-hayes.com,Occupational therapist,+1-623-600-7670x98492,2024-08-06,Cold Call,Unqualified
6363,3712,Shawn,Lewis,shawn.lewis@conradgroup.com,Energy engineer,+1-665-252-9724x829,2024-06-08,Cold Call,New
135,2710,James,Barker,james.barker@curryllc.com,Location manager,(549)748-8683x2710,2025-07-05,Web,New
3494,816,Nicole,Lutz,nicole.lutz@jackson-flores.com,"Engineer, communications",(558)992-3477x3496,2025-04-06,Cold Call,Working
2380,1099,Edward,Porter,edward.porter@howe-simon.com,Homeopath,(971)312-6934x489,2024-08-05,Referral,Working
7697,1976,Samantha,Finley,samantha.finley@miller-miller.com,Higher education careers adviser,(571)667-1320x9895,2025-04-28,Web,Working
3356,3039,Joseph,Lee,joseph.lee@contrerastownsendandgarcia.com,Event organiser,639-250-2214,2025-01-01,Ad,Qualified
2775,2526,Jason,Mayo,jason.mayo@hodgesllc.com,Risk manager,001-617-739-1822x802,2024-12-07,Referral,Unqualified
5031,1043,Kristina,Velasquez,kristina.velasquez@coxdavisandpierce.com,"Civil engineer, consulting",858-394-5795x9478,2025-02-04,Web,Unqualified
3577,3843,Greg,Boyd,greg.boyd@kingsmithandgraham.com,Customer service manager,+1-353-307-7777,2024-09-15,Web,Unqualified
4596,3518,Mia,Kirk,mia.kirk@brown-keller.com,"Engineer, building services",001-239-499-4072x6849,2023-09-26,Web,Unqualified
5923,1596,Wanda,Thomas,wanda.thomas@montoyaplc.com,Osteopath,(717)471-4128x778,2023-12-16,Ad,Working
5742,2778,Tony,Gomez,tony.gomez@thomaslozanoandpearson.com,Chartered accountant,707-650-1215,2024-06-23,Cold Call,Working
2983,2285,Andrew,Gonzalez,andrew.gonzalez@fordgroup.com,Patent attorney,(555)672-8216,2024-06-21,Referral,New
6593,2105,Hannah,Turner,hannah.turner@snydervasquezandlucas.com,"Restaurant manager, fast food",(200)737-6537,2025-06-13,Web,Qualified
3754,1291,Sandra,Kline,sandra.kline@hopkinsllc.com,Data processing manager,001-523-451-3079x80552,2024-06-02,Cold Call,Qualified
1878,1224,Anne,Gonzalez,anne.gonzalez@brooksknightandharrison.com,"Teacher, adult education",(442)693-7258x9672,2025-05-11,Ad,New
1636,1908,Jason,Mitchell,jason.mitchell@craigburnsandmartin.com,"Research officer, political party",001-792-564-2122x263,2024-09-18,Web,Qualified
2185,13,Kevin,Archer,kevin.archer@tuckervaughanandhernandez.com,Geoscientist,329.583.0192x76150,2024-05-10,Ad,Working
4010,1873,Andrew,Novak,andrew.novak@holmes-hampton.com,Early years teacher,,2025-01-31,Cold Call,Qualified
8055,1031,Anthony,Williams,anthony.williams@rodriguezcrawfordandcruz.com,"Investment banker, operational",5339371559,2024-01-20,Referral,Qualified
5090,1920,Sarah,Perkins,sarah.perkins@rodriguezandsons.com,Personal assistant,265.821.3812,2023-02-21,Referral,Qualified
3621,1922,James,Mitchell,james.mitchell@flynndavisandhenderson.com,Hydrographic surveyor,(448)511-5694x1639,2024-01-10,Ad,Working
3438,955,Julian,Cooper,julian.cooper@turner-cook.com,"Social research officer, government",001-212-958-1390,2024-08-30,Referral,New
4982,250,Andrew,Walker,andrew.walker@watson-matthews.com,Air cabin crew,538.909.6141,2025-03-01,Cold Call,Unqualified
2200,748,Andrew,Velasquez,andrew.velasquez@rasmussennguyenandjohnson.com,Further education lecturer,368-952-8646,2023-12-27,Referral,New
1770,2489,Laurie,Long,laurie.long@grimes-morales.com,Financial manager,+1-783-958-9606x656,2024-02-11,Ad,Working
6571,1795,Michael,Floyd,michael.floyd@sullivanpetersonandcoleman.com,Retail banker,,2024-08-01,Web,Qualified
6310,3196,Ernest,Floyd,ernest.floyd@rowegroup.com,Telecommunications researcher,807-645-2630x874,2024-07-28,Ad,Unqualified
3141,2548,George,Brown,george.brown@petersonclarkandmartinez.com,Retail banker,,2023-10-26,Web,Working
6272,1136,Zachary,Brandt,zachary.brandt@smithallenandking.com,Chartered certified accountant,+1-534-759-7182x8906,2022-08-24,Ad,Qualified
4847,1277,David,Cameron,david.cameron@ruizgroup.com,TEFL teacher,732.845.4584x7835,2025-04-05,Referral,New
6653,2754,Wendy,Mckinney,wendy.mckinney@allen-clark.com,Fine artist,,2024-11-19,Cold Call,New
1550,3104,Abigail,Williams,abigail.williams@gillinc.com,"Administrator, charities/voluntary organisations",001-802-726-3233,2023-03-08,Ad,New
6831,199,Benjamin,Young,benjamin.young@costa-butler.com,Radiation protection practitioner,787-751-3597x76661,2024-11-07,Referral,New
217,436,Brent,Tran,brent.tran@chan-simmons.com,Wellsite geologist,,2023-08-18,Referral,Unqualified
6508,881,Kirk,Wright,kirk.wright@west-trevino.com,Production engineer,881-418-7957x247,2024-01-30,Web,Unqualified
1114,2691,Christina,Garcia,christina.garcia@bellinc.com,Local government officer,340-550-9413x66362,2024-07-30,Cold Call,New
4279,945,Tiffany,Jones,tiffany.jones@pittmaninc.com,Insurance underwriter,396-314-9923x49891,2024-04-04,Referral,Unqualified
7594,1134,Melvin,Jones,melvin.jones@phillips-nguyen.com,Restaurant manager,472.376.3920,2025-03-17,Web,New
6662,2071,Jeremy,Frederick,jeremy.frederick@guzmanaguirreandlong.com,Retail buyer,339.365.2150,2024-04-30,Ad,New
7404,3159,Jay,Palmer,jay.palmer@smithinc.com,"Scientist, water quality",533.514.2140x563,2025-06-24,Referral,Working
16,3278,Mark,Arias,mark.arias@simpson-hunt.com,Financial planner,(651)830-0998x785,2024-12-14,Web,Unqualified
5268,3999,Bruce,Bright,bruce.bright@braun-lloyd.com,Press sub,+1-803-347-1700x514,2025-07-06,Referral,Working
6413,64,Emily,Malone,emily.malone@meyerhamiltonandmiller.com,"Nurse, adult",001-299-247-6951x016,2024-07-24,Referral,Unqualified
6086,3786,Jeffrey,Pennington,jeffrey.pennington@murphyolsenandwalter.com,Commissioning editor,+1-705-792-1362x674,2024-10-29,Cold Call,New
739,3821,Christine,Frank,christine.frank@davisandsons.com,Probation officer,286.427.4573x04949,2022-11-22,Cold Call,New
3649,1874,Brittany,Farrell,brittany.farrell@powellfoxandramos.com,Logistics and distribution manager,257.223.8238x74490,2025-04-29,Cold Call,Working
346,882,Melissa,Smith,melissa.smith@lambplc.com,Teaching laboratory technician,995.440.4395x48762,2023-05-20,Web,Qualified
6865,3930,Diane,Austin,diane.austin@joseph-davenport.com,"Engineer, manufacturing",001-587-631-9816x4956,2025-06-10,Ad,Unqualified
7248,1177,Brandon,Cortez,brandon.cortez@millergarciaandwheeler.com,Broadcast engineer,(476)353-2145x8016,2025-07-17,Ad,Unqualified
2899,2167,Ian,Rogers,ian.rogers@marquez-smith.com,Jewellery designer,429.373.8242x362,2023-05-03,Ad,Working
4924,510,Cindy,Rosales,cindy.rosales@mooregroup.com,Horticultural therapist,(656)928-5736,2025-04-01,Ad,Working
6755,3742,Nathan,Stephens,nathan.stephens@williams-ward.com,"Engineer, communications",,2025-01-09,Cold Call,Unqualified
544,3463,John,Mcconnell,john.mcconnell@yang-wilson.com,Sports development officer,272.676.9681x075,2025-04-03,Web,Unqualified
399,1543,Theresa,Bowman,theresa.bowman@wallswilsonandcox.com,"Nurse, mental health",715-444-3555,2025-02-10,Cold Call,Working
7262,112,Allen,Fitzpatrick,allen.fitzpatrick@hudsonwilliamsandfrank.com,"Engineer, materials",,2024-10-07,Cold Call,Unqualified
5789,1893,Isabel,Hood,isabel.hood@meyer-richardson.com,Illustrator,742-993-5274x71965,2025-07-05,Referral,Qualified
2291,2976,Christina,Caldwell,christina.caldwell@sosacisnerosandsweeney.com,Site engineer,564.863.1099,2023-02-19,Cold Call,Unqualified
5280,3897,Shawna,Wilkinson,shawna.wilkinson@robertsrichardsonandlindsey.com,"Engineer, manufacturing",971-910-3041x30155,2025-07-13,Web,Unqualified
143,2067,Rebecca,Bailey,rebecca.bailey@stanton-stone.com,Trade mark attorney,001-325-394-7723x097,2025-06-07,Cold Call,New
2370,3117,Kathryn,Johnson,kathryn.johnson@mercer-farrell.com,Hospital doctor,(473)631-6114x184,2024-06-15,Ad,New
1424,2780,Matthew,Lee,matthew.lee@duncan-gonzalez.com,Retail banker,303.372.8354x4988,2024-09-26,Referral,Working
1451,2639,Alexandra,King,alexandra.king@youngandsons.com,"Programmer, systems",+1-796-608-6190x067,2025-06-18,Ad,Working
3857,896,Lisa,Jackson,lisa.jackson@harris-moran.com,Multimedia specialist,001-645-825-2386x489,2025-05-24,Referral,Qualified
2142,1383,Mark,Willis,mark.willis@harperaguilarandvaldez.com,"Engineer, biomedical",863.522.6826,2024-11-19,Ad,Working
1747,76,Jessica,Thomas,jessica.thomas@gonzalesrosarioandmartinez.com,"Engineer, manufacturing",317.334.8907,2025-05-28,Ad,New
6882,608,Monica,Jordan,monica.jordan@eaton-tyler.com,"Accountant, chartered public finance",469.585.3083x193,2024-06-25,Cold Call,Qualified
4111,1221,Nathan,Baldwin,nathan.baldwin@nguyen-bolton.com,Clothing/textile technologist,309.527.2958,2025-02-20,Ad,Qualified
1568,1103,Jennifer,Schneider,jennifer.schneider@gallegos-thompson.com,Child psychotherapist,(336)234-6994,2024-06-05,Cold Call,Unqualified
2785,3709,Amber,Powell,amber.powell@owensmurphyandpetty.com,Bookseller,630-264-0674,2024-07-18,Web,New
6082,3370,Andrew,Martinez,andrew.martinez@cannonltd.com,Geochemist,001-234-972-6570x324,2025-06-30,Ad,Qualified
7017,3810,Gregory,Watts,gregory.watts@campbell-michael.com,Community development worker,313-222-6116,2024-12-30,Cold Call,Unqualified
7349,3863,Anthony,Williams,anthony.williams@morrisltd.com,"Engineer, structural",001-563-228-1053x730,2024-09-06,Ad,Working
6932,1774,Brianna,Mccullough,brianna.mccullough@hernandez-alvarado.com,Further education lecturer,4539725706,2023-05-05,Web,Qualified
3630,3011,Eddie,Kemp,eddie.kemp@acevedodayandhale.com,Insurance risk surveyor,951.216.8314x6367,2024-12-21,Web,Unqualified
7807,1140,Victoria,Townsend,victoria.townsend@jones-chambers.com,"Development worker, community",001-750-457-3074x903,2023-05-10,Web,Qualified
5626,3150,Lindsey,Clark,lindsey.clark@garcia-peterson.com,Investment analyst,,2024-06-07,Cold Call,Working
7190,3801,Eric,Garrett,eric.garrett@rileyltd.com,Health service manager,514-220-3870x321,2023-10-07,Cold Call,Unqualified
8018,568,Anthony,Kline,anthony.kline@fulleronealandedwards.com,Geoscientist,(681)614-9175x1249,2025-03-02,Cold Call,New
5660,26,Tracy,Walters,tracy.walters@bowman-brown.com,Clinical cytogeneticist,001-558-358-2844x704,2025-01-05,Referral,Working
7037,310,April,Tate,april.tate@coxgonzalezandrobinson.com,Soil scientist,(766)511-2221,2025-06-29,Ad,Working
804,2879,Angela,Mann,angela.mann@buchananmartinezandhamilton.com,"Surveyor, quantity",001-611-373-1505,2023-07-10,Cold Call,Unqualified
7150,780,Cindy,Brown,cindy.brown@franklinbrownanddean.com,Adult guidance worker,701.996.1245x6239,2023-12-25,Ad,Working
4696,3633,Todd,Bruce,todd.bruce@thompsonpriceandcarr.com,"Therapist, speech and language",546-328-8323x082,2024-11-06,Cold Call,Working
5015,3946,Sarah,Paul,sarah.paul@ford-myers.com,"Designer, television/film set",847-403-3601,2023-07-31,Ad,New
7246,2290,Zachary,Williams,zachary.williams@parks-russell.com,Speech and language therapist,459.271.6858,2023-08-22,Ad,Unqualified
5873,1712,Sabrina,Hancock,sabrina.hancock@cooklambertandcarey.com,Toxicologist,277-498-8898,2024-04-06,Referral,Working
5489,3896,Pamela,Smith,pamela.smith@rodriguezschultzandgarza.com,Animal technologist,312.471.5885,2024-08-30,Referral,Qualified
7043,369,Savannah,Jones,savannah.jones@millerandsons.com,"Designer, jewellery",001-515-447-2328x370,2025-06-28,Web,Working
